iter	Logloss
0	0.6535633988
1	0.6185329025
2	0.5891032698
3	0.5638796565
4	0.5392111406
5	0.5177143412
6	0.4979461772
7	0.48054944
8	0.466670868
9	0.4529463796
10	0.4413939514
11	0.4311338236
12	0.422041895
13	0.4142161148
14	0.4063930743
15	0.3994630213
16	0.3927548033
17	0.3875546895
18	0.3830351798
19	0.3783361619
20	0.3739411214
21	0.3706096935
22	0.3678923802
23	0.3646917048
24	0.3622902918
25	0.3600522814
26	0.3577565935
27	0.3555625541
28	0.3535881487
29	0.3518007709
30	0.3501667868
31	0.348926776
32	0.3476647964
33	0.3467134012
34	0.3456722182
35	0.3447992021
36	0.3440628442
37	0.3432303495
38	0.3424911979
39	0.3418014276
40	0.3411158699
41	0.3406914955
42	0.3402028808
43	0.3396592282
44	0.3392343102
45	0.3387036035
46	0.3383359851
47	0.3380362528
48	0.337662812
49	0.3372687479
50	0.3370825637
51	0.3367656535
52	0.3365274648
53	0.3363121544
54	0.3360878091
55	0.335763012
56	0.3355626892
57	0.3353900371
58	0.3352085628
59	0.3350334246
60	0.3348267312
61	0.3346067864
62	0.3344427515
63	0.3343077637
64	0.3341767613
65	0.3340471601
66	0.3339761326
67	0.3339208895
68	0.3338247613
69	0.3336907882
70	0.3335541382
71	0.3334195382
72	0.333288554
73	0.3331936416
74	0.3330974622
75	0.3329826397
76	0.3329575189
77	0.3328567342
78	0.3328080932
79	0.3327272145
80	0.3326177063
81	0.3324636287
82	0.3323784017
83	0.3322980549
84	0.332205621
85	0.3321427769
86	0.3320635352
87	0.3320166842
88	0.3319469186
89	0.3318635329
90	0.3318126963
91	0.3317070149
92	0.3316377689
93	0.3315839251
94	0.3315126737
95	0.3315009217
96	0.3314961313
97	0.3314913953
98	0.3314324555
99	0.3313757654
100	0.3313000353
101	0.331234717
102	0.3311834053
103	0.3310824977
104	0.3310480609
105	0.3309854462
106	0.330972483
107	0.3308877471
108	0.3308026055
109	0.3307264912
110	0.3306757046
111	0.3306102535
112	0.3305538761
113	0.3304684601
114	0.3303922931
115	0.3303414938
116	0.3303049843
